"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Looking up the definition of 'apple'","SUCCESS","2017-12-24T20:33:50.225-05:00[America/New_York]","0.0","8.79"
"Lookup a definition","Looking up the definition of 'pear'","SUCCESS","2017-12-24T20:33:59.033-05:00[America/New_York]","0.0","14.97"
"Lookup a friend from facebook friend list","Search for Friends","SUCCESS","2017-12-24T20:34:14.002-05:00[America/New_York]","0.0","11.09"
"Lookup a friend from facebook friend list","Timeline functionality verification","SUCCESS","2017-12-24T20:34:25.087-05:00[America/New_York]","0.0","29.5"
"Lookup a friend from facebook friend list","profilepage header verification","SUCCESS","2017-12-24T20:34:54.588-05:00[America/New_York]","0.0","10.51"
"Lookup a friend from facebook friend list","More functionality verification","SUCCESS","2017-12-24T20:35:05.096-05:00[America/New_York]","0.0","18.43"
"Lookup a friend from facebook friend list","Friends functionality verification","SUCCESS","2017-12-24T20:35:23.528-05:00[America/New_York]","0.0","13.46"
"Lookup a friend from facebook friend list","About Functionality verification","SUCCESS","2017-12-24T20:35:54.78-05:00[America/New_York]","0.0","23.67"
