"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Looking up the definition of 'apple'","SUCCESS","2017-12-24T20:33:50.225-05:00[America/New_York]","0.0","8.79"
"Lookup a definition","Looking up the definition of 'pear'","SUCCESS","2017-12-24T20:33:59.033-05:00[America/New_York]","0.0","14.97"
