"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a friend from facebook friend list","EditPost functionality verification","ERROR","2017-12-25T20:31:57.65-05:00[America/New_York]","0.0","54.57"
"Lookup a friend from facebook friend list","MakePost functionality verification","SUCCESS","2017-12-25T20:32:52.22-05:00[America/New_York]","0.0","22.56"
